DATE,ITEM,NAME,SPEC,AC_CODE,WC_CODE,LOC,VD_CODE,VD_NAME,UP,CUR,ORDER_BAL,UNIT,BEGIN_QTY,RECEIVE_QTY,ISSUE_QTY,STOCK_QTY,LAST_ISSUED_DATE,LAST_STOCK_IN_DATE,STOCK_AGE,GROUP_AGE
2025-01-01,SKU-0075,CERAMIC BALL,CER-0075,4520BL,AS99,B2,MIN471,Minebea HQ,6873.770755,BT,0,KPS,14,0,0,14,2026-08-05,2020-11-23,70,24+ months
2025-01-01,SKU-0076,CERAMIC BALL,CER-0076,4520BL,AS99,B2,MIN471,Minebea HQ,6881.020113,BT,0,KPS,31,0,0,31,2026-05-30,2026-05-22,3,0-3 months
2025-01-01,SKU-0077,CERAMIC BALL,CER-0077,4520BL,AS99,B2,MIN471,Minebea HQ,6865.55,BT,0,KPS,9,0,0,9,2026-08-05,2020-11-23,70,24+ months
2025-01-01,SKU-0078,CERAMIC BALL,CER-0078,4520BL,AS99,B2,MIN471,Minebea HQ,12715.57661,BT,0,KPS,33,0,4,28,2026-08-05,2026-07-06,1,0-3 months
2025-01-01,SKU-0079,CERAMIC BALL,CER-0079,4520BL,AS99,B2,MIN471,Minebea HQ,12581.72744,BT,0,KPS,127,0,20,107,2026-08-05,2026-07-22,1,0-3 months
2025-01-01,SKU-0080,CERAMIC BALL,CER-0080,4520BL,AS99,B2,MIN471,Minebea HQ,12817.47354,BT,0,KPS,54,0,28,27,2026-08-05,2026-07-22,1,0-3 months
2025-01-01,SKU-0081,CERAMIC BALL,CER-0081,4520BL,AS99,B2,MIN471,Minebea HQ,3950.264056,BT,0,KPS,45,0,31,14,2026-08-05,2025-09-18,11,6-12 months
2025-01-01,SKU-0082,CERAMIC BALL,CER-0082,4520BL,AS99,B2,MIN471,Minebea HQ,4081.658478,BT,0,KPS,67,0,19,48,2026-08-05,2026-07-06,1,0-3 months
2025-01-01,SKU-0083,CERAMIC BALL,CER-0083,4520BL,AS99,B2,MIN471,Minebea HQ,4007.853625,BT,30,KPS,79,0,11,68,2026-07-06,2026-07-06,1,0-3 months
2025-01-01,SKU-0084,CERAMIC BALL,CER-0084,4520BL,AS99,4C,MIN471,Minebea HQ,0.0,BT,320,KPS,0,0,0,0,2026-08-24,2026-08-18,0,0-3 months
2025-01-01,SKU-0085,CERAMIC BALL,CER-0085,4520BL,AS99,B2,MIN471,Minebea HQ,4556.415254,BT,0,KPS,10,0,0,10,2026-06-28,2026-06-25,2,0-3 months
2025-01-01,SKU-0086,CERAMIC BALL,CER-0086,4520BL,AS99,B2,MIN471,Minebea HQ,4882.31859,BT,47,KPS,71,53,25,99,2026-08-24,2026-08-31,0,0-3 months
2025-01-01,SKU-0087,CERAMIC BALL,CER-0087,4520BL,AS99,4C,MIN471,Minebea HQ,4994.979196,BT,20,KPS,105,106,21,189,2026-08-24,2026-07-08,1,0-3 months
2025-01-01,SKU-0088,CERAMIC BALL,CER-0088,4520BL,AS99,4C,MIN471,Minebea HQ,4560.773843,BT,220,KPS,48,53,11,90,2026-06-10,2026-05-27,3,0-3 months
2025-01-01,SKU-0089,BALL,BAL-0089,4520BB,AS99,K1,MIC326,MicroSphere Precision Balls,129.45,BT,1800,KPS,283,1665,414,1535,2026-08-29,2026-08-17,0,0-3 months
2025-01-01,SKU-0090,BALL,BAL-0090,4520BB,AS99,K1,MIC326,MicroSphere Precision Balls,129.45,BT,6800,KPS,776,7832,6624,1984,2026-08-30,2026-08-31,0,0-3 months
2025-01-01,SKU-0091,BALL,BAL-0091,4520BB,AS99,K1,MIC326,MicroSphere Precision Balls,129.45,BT,11950,KPS,1505,11408,10162,2751,2026-08-24,2026-08-20,0,0-3 months
2025-01-01,SKU-0092,BALL,BAL-0092,4520BB,AS99,K1,MIC326,MicroSphere Precision Balls,129.45,BT,4609,KPS,480,4838,3175,2144,2026-08-24,2026-08-25,0,0-3 months
2025-01-01,SKU-0093,BALL,BAL-0093,4520BB,AS99,K1,MIC326,MicroSphere Precision Balls,129.45,BT,700,KPS,148,1963,653,1458,2026-08-23,2026-08-01,1,0-3 months
2025-01-01,SKU-0094,BALL,BAL-0094,4520BB,AS99,K2,MIC326,MicroSphere Precision Balls,87.75,BT,300,KPS,149,88,149,88,2026-08-05,2026-08-06,0,0-3 months
2025-01-01,SKU-0095,BALL,BAL-0095,4520BB,AS99,K2,MIC326,MicroSphere Precision Balls,87.75,BT,600,KPS,440,264,217,487,2026-08-12,2026-08-04,0,0-3 months
2025-01-01,SKU-0096,BALL,BAL-0096,4520BB,AS99,K2,MIC326,MicroSphere Precision Balls,87.75,BT,1100,KPS,345,704,1049,0,2026-08-22,2026-08-27,0,0-3 months
2025-01-01,SKU-0097,BALL,BAL-0097,4520BB,AS99,K2,MIC326,MicroSphere Precision Balls,0.0,BT,0,KPS,0,0,0,0,2026-08-05,2026-04-09,4,3-6 months
2025-01-01,SKU-0098,BALL,BAL-0098,4520BB,AS99,K2,MIC326,MicroSphere Precision Balls,87.75,BT,1702,KPS,863,1065,1223,705,2026-08-22,2026-08-10,0,0-3 months
2025-01-01,SKU-0099,BALL,BAL-0099,4520BB,AS99,L2,MIC326,MicroSphere Precision Balls,87.75,BT,3105,KPS,1837,968,2170,634,2026-08-15,2026-08-20,0,0-3 months
2025-01-01,SKU-0100,BALL,BAL-00100,4520BB,AS99,L2,MIC326,MicroSphere Precision Balls,0.0,BT,0,KPS,0,0,0,0,2026-08-05,2026-04-09,4,3-6 months
2025-01-01,SKU-0101,BALL,BAL-00101,4520BB,AS99,L2,MIC326,MicroSphere Precision Balls,87.75,BT,4703,KPS,153,4620,4029,744,2026-08-30,2026-08-27,0,0-3 months
2025-01-01,SKU-0102,BALL,BAL-00102,4520BB,AS99,L1,MIC326,MicroSphere Precision Balls,87.75,BT,3000,KPS,321,2024,1306,1039,2026-08-24,2026-08-28,0,0-3 months
2025-01-01,SKU-0103,BALL,BAL-00103,4520BB,AS99,L1,MIC326,MicroSphere Precision Balls,0.0,BT,0,KPS,0,0,0,0,2026-08-05,2026-04-09,4,3-6 months
2025-01-01,SKU-0104,BALL,BAL-00104,4520BB,AS99,L1,MIC326,MicroSphere Precision Balls,87.75,BT,4400,KPS,1934,1848,3562,220,2026-08-30,2026-08-20,0,0-3 months
2025-01-01,SKU-0105,BALL,BAL-00105,4520BB,AS99,L1,MIC326,MicroSphere Precision Balls,87.75,BT,5936,KPS,880,176,511,545,2026-08-30,2026-08-24,0,0-3 months
2025-01-01,SKU-0106,BALL,BAL-00106,4520BB,AS99,L1,MIC326,MicroSphere Precision Balls,87.75,BT,900,KPS,493,290,493,290,2026-08-16,2026-08-04,0,0-3 months
2025-01-01,SKU-0107,BALL,BAL-00120,4520BB,AS99,E2,MIC326,MicroSphere Precision Balls,92.1,BT,700,KPS,928,965,1544,349,2026-08-28,2026-08-17,0,0-3 months
2025-01-01,SKU-0108,BALL,BAL-00120,4520BB,AS99,E2,MIC326,MicroSphere Precision Balls,92.1,BT,401,KPS,225,880,797,308,2026-08-30,2026-08-25,0,0-3 months
2025-01-01,SKU-0109,BALL,BAL-00120,4520BB,AS99,F1,MIC326,MicroSphere Precision Balls,92.1,BT,600,KPS,519,1317,1570,267,2026-08-24,2026-08-28,0,0-3 months
2025-01-01,SKU-0110,BALL,BAL-00120,4520BB,AS99,F1,MIC326,MicroSphere Precision Balls,92.1,BT,1200,KPS,158,1672,782,1048,2026-08-10,2026-06-25,2,0-3 months
2025-01-01,SKU-0111,BALL,BAL-00111,4520BB,AS99,E2,MIC326,MicroSphere Precision Balls,92.1,BT,402,KPS,742,294,1015,21,2026-08-30,2026-08-31,0,0-3 months
2025-01-01,SKU-0112,BALL,BAL-00112,4520BB,AS99,E2,MIC326,MicroSphere Precision Balls,92.1,BT,600,KPS,0,1143,268,875,2026-07-06,2026-06-04,3,0-3 months
2025-01-01,SKU-0113,BALL,BAL-00113,4520BB,AS99,F2,MIC326,MicroSphere Precision Balls,92.1,BT,3500,KPS,1739,3168,3258,1649,2026-08-24,2026-08-28,0,0-3 months
2025-01-01,SKU-0114,BALL,BAL-00114,4520BB,AS99,F2,MIC326,MicroSphere Precision Balls,92.1,BT,2300,KPS,667,2640,3034,273,2026-08-25,2026-08-05,0,0-3 months
2025-01-01,SKU-0115,BALL,BAL-00115,4520BB,AS99,F2,MIC326,MicroSphere Precision Balls,92.1,BT,7400,KPS,1171,6952,4841,3282,2026-08-24,2026-08-27,0,0-3 months
2025-01-01,SKU-0116,BALL,BAL-00116,4520BB,AS99,F2,MIC326,MicroSphere Precision Balls,92.1,BT,4900,KPS,2521,2728,5144,106,2026-08-27,2026-08-24,0,0-3 months
2025-01-01,SKU-0117,BALL,BAL-00117,4520BB,AS99,F1,MIC326,MicroSphere Precision Balls,92.1,BT,5500,KPS,1265,3256,4301,220,2026-08-24,2026-08-27,0,0-3 months
2025-01-01,SKU-0118,BALL,BAL-00118,4520BB,AS99,F1,MIC326,MicroSphere Precision Balls,92.1,BT,3700,KPS,1700,3344,2508,2536,2026-08-20,2026-08-17,0,0-3 months
2025-01-01,SKU-0119,BALL,BAL-00119,4520BB,AS99,E2,MIC326,MicroSphere Precision Balls,92.1,BT,1363,KPS,326,721,666,380,2026-08-30,2026-08-27,0,0-3 months
2025-01-01,SKU-0120,BALL,BAL-00120,4520BB,AS99,E2,MIC326,MicroSphere Precision Balls,92.1,BT,1300,KPS,750,0,750,0,2026-08-11,2026-08-10,0,0-3 months
2025-01-01,SKU-0121,BALL,BAL-00121,4520BC,AS99,M1,MIN471,Minebea HQ,210.003281,BT,360,KPS,509,0,138,371,2026-08-24,2026-08-10,0,0-3 months
2025-01-01,SKU-0122,BALL,BAL-00122,4520BD,AS99,I2,MIN471,Minebea HQ,222.5725444,BT,1540,KPS,2394,0,620,1773,2026-08-24,2026-08-25,0,0-3 months
2025-01-01,SKU-0123,BALL,BAL-00123,4520BC,AS99,M1,MIN471,Minebea HQ,207.347853,BT,1800,KPS,1143,0,359,785,2026-08-24,2026-05-12,3,0-3 months
2025-01-01,SKU-0124,BALL,BAL-00124,4520BD,AS99,G1,MIN471,Minebea HQ,217.2058795,BT,7065,KPS,4321,4981,3057,6244,2026-08-24,2026-08-25,0,0-3 months
2025-01-01,SKU-0125,BALL,BAL-00125,4520BC,AS99,N2,MIN471,Minebea HQ,203.6662459,BT,2600,KPS,1544,0,349,1195,2026-08-26,2026-08-10,0,0-3 months
2025-01-01,SKU-0126,BALL,BAL-00126,4520BD,AS99,A1,MIN471,Minebea HQ,216.0360392,BT,13520,KPS,4690,8888,3354,10225,2026-08-24,2026-07-21,1,0-3 months
2025-01-01,SKU-0127,BALL,BAL-00127,4520BC,AS99,M2,MIN471,Minebea HQ,202.9709916,BT,2500,KPS,1176,0,155,1021,2026-08-24,2026-08-10,0,0-3 months
2025-01-01,SKU-0128,BALL,BAL-00128,4520BD,AS99,H1,MIN471,Minebea HQ,215.7876695,BT,8610,KPS,4738,2640,1703,5675,2026-08-24,2026-08-25,0,0-3 months
2025-01-01,SKU-0129,BALL,BAL-00129,4520BC,AS99,M2,MIN471,Minebea HQ,250.6052446,BT,200,KPS,1344,0,20,1324,2026-08-24,2026-06-10,2,0-3 months
2025-01-01,SKU-0130,BALL,BAL-00130,4520BD,AS99,I2,MIN471,Minebea HQ,220.9881017,BT,1350,KPS,3392,0,337,3054,2026-08-24,2026-08-19,0,0-3 months
